expression,reading,meaning,meaning_indonesia,tags,guid
小さな,ちいさな,"small, little","kecil, sedikit",JLPT JLPT_5 JLPT_N5,lc*~Cd~D@4
近い,ちかい,"near, close by, short","dekat, dekat, pendek",Genki Genki_Ln.13 JLPT JLPT_5 JLPT_N5,"ttC.1]n,0|"
違う,ちがう,to be different; to differ; wrong,menjadi berbeda;,Genki Genki_Ln.23 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5,N2Hj9)qK/l
近く,ちかく,nearby; in the neighborhood,di dekat sini;,Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5,y)Y*_^+)&<
地下鉄,ちかてつ,"underground train, subway","kereta bawah tanah, kereta bawah tanah",Genki Genki_Ln.10 JLPT JLPT_5 JLPT_N5,MEsyrZ*cPc
地図,ちず,a map,sebuah peta,Genki Genki_Ln.15 Intermediate_Japanese Intermediate_Japanese_Ln.12 JLPT JLPT_5 JLPT_N5,dhY*~Tx!fs
父,ちち,(my) father,ayah (saya).,Genki Genki_Ln.7 JLPT JLPT_5 JLPT_N5,QKI#T(oT`t
茶色,ちゃいろ,brown,cokelat,JLPT JLPT_5 JLPT_N5,h<Se0W>cwB
茶碗,ちゃわん,rice bowl,tempat nasi,JLPT JLPT_5 JLPT_N5,p6c8>jnMm!
～中,～ちゅう,"during, while ~ing","selama, sambil ~ing",JLPT JLPT_5 JLPT_N5,J]E)zcwU%w
丁度,ちょうど,"just, right, exactly",tepat sekali,JLPT JLPT_5 JLPT_N5,K@fxH}$AC8
ちょっと,ちょっと,"a little, somewhat; just a little, somewhat","sedikit, agak;",Genki Genki_Ln.3 JLPT JLPT_2 JLPT_5 JLPT_N5,j)OcO!#[%u
一日,ついたち,one day; first day of the month,Satu hari;,JLPT JLPT_5 JLPT_N5,qK&D4iveg
使う,つかう,to use,untuk digunakan,JLPT JLPT_5 JLPT_N5,B(Ve/L8[z5
疲れる,つかれる,to get (become) tired; to become fatigued,menjadi (menjadi) lelah;,Genki Genki_Ln.11 Intermediate_Japanese Intermediate_Japanese_Ln.10 JLPT JLPT_5 JLPT_N5,Oil7l6nt$n
次,つぎ,next,Berikutnya,Genki Genki_Ln.6 JLPT JLPT_5 JLPT_N5,IPls}w5_e-
着く,つく,"to arrive at, to reach","untuk tiba, untuk mencapai",JLPT JLPT_3 JLPT_5 JLPT_N5,hc-pfPX>PQ
机,つくえ,desk,meja,Genki Genki_Ln.4 Intermediate_Japanese Intermediate_Japanese_Ln.10 JLPT JLPT_5 JLPT_N5,G!9kEn9Y>c
作る,つくる,"to make, to create","untuk membuat, untuk menciptakan",Genki Genki_Ln.8 JLPT JLPT_5 JLPT_N5,dlanfH_M#M
つける,つける,"to turn on (e.g., a light); to take","untuk menyalakan (misalnya, lampu);",JLPT JLPT_3 JLPT_4 JLPT_5 JLPT_N5,o}z*=/A8o~
勤める,つとめる,to work (for),untuk bekerja (untuk),JLPT JLPT_5 JLPT_N5,xKU$$gsQPF
つまらない,つまらない,"boring, dull; insignificant","membosankan, membosankan;",Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5,HL~a;+T`kY
冷たい,つめたい,"cold (things, people)","dingin (benda, orang)",Genki Genki_Ln.10 JLPT JLPT_5 JLPT_N5,v8vDEW[6Rh
強い,つよい,"strong, powerful","kuat, kuat",Genki Genki_Ln.17 Intermediate_Japanese Intermediate_Japanese_Ln.13 JLPT JLPT_5 JLPT_N5,d[wde~o@q(
手,て,hand,tangan,JLPT JLPT_5 JLPT_N5,CAHcCP96BY
テープ,テープ,tape,tape,Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5,"H|,pBh(;BD"
テープレコーダー,テープレコーダー,tape recorder,perekam pita,JLPT JLPT_5 JLPT_N5,izd^3[1~Pe
テーブル,テーブル,table,meja,JLPT JLPT_5 JLPT_N5,n-.M5OZr5!
出かける,でかける,to go out; to depart,untuk keluar;,Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5,Fx}b2N2gun
手紙,てがみ,letter,surat,Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5,M#PC#!OTka
できる,できる,to be able to (to accomplish),untuk dapat (untuk mencapai),JLPT JLPT_3 JLPT_4 JLPT_5 JLPT_N5,vB~NGv+*>H
出口,でぐち,an exit,sebuah jalan keluar,Intermediate_Japanese Intermediate_Japanese_Ln.7 JLPT JLPT_5 JLPT_N5,sv__368x5>
テスト,テスト,test,tes,Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5,Lhy<!{J6SG
では,では,"then, well, so","lalu, baiklah, jadi",JLPT JLPT_3 JLPT_5 JLPT_N5,NY{|SsdlKz
デパート,デパート,(abbr.) department store,(singkatan) toko serba ada,Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5,rd.b%pP~B0
でも,でも,"but, however","tapi, bagaimanapun",JLPT JLPT_3 JLPT_5 JLPT_N5,izQ~3T7Pp}
出る,でる,"to appear, to leave","untuk muncul, untuk pergi",JLPT JLPT_5 JLPT_N5,A23ctPX1n^
テレビ,テレビ,"television, TV","televisi, televisi",Genki Genki_Ln.3 JLPT JLPT_5 JLPT_N5,pQXZQB+G|d
天気,てんき,weather,cuaca,Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5,vm1l+4c[9
電気,でんき,"electricity, (electric) light","listrik, lampu (listrik).",Genki Genki_Ln.6 JLPT JLPT_5 JLPT_N5,HsW5jIb;SC
電車,でんしゃ,electric train,kereta listrik,Genki Genki_Ln.6 JLPT JLPT_5 JLPT_N5,e?+NxLTOv
電話,でんわ,a telephone,sebuah telepon,Genki Genki_Ln.1 JLPT JLPT_5 JLPT_N5,"Q,geq&8^pJ"
戸,と,door (Japanese style),pintu (gaya Jepang),JLPT JLPT_5 JLPT_N5,o.K?EMap~;
～度,～ど,counter for occurrences; ~ degree; ~ point,counter untuk kejadian;,JLPT JLPT_1 JLPT_5 JLPT_N5,K9|0UgYaJ_
ドア,ドア,door (Western style),pintu (gaya Barat),JLPT JLPT_5 JLPT_N5,l[rk}4@PVD
トイレ,トイレ,bathroom; toilet,kamar mandi;,Intermediate_Japanese Intermediate_Japanese_Ln.10 JLPT JLPT_5 JLPT_N5,hv_ThfFsjj
どう,どう,"how, in what way","bagaimana, dengan cara apa",JLPT JLPT_5 JLPT_N5,FZt/a?Mnu^
どうして,どうして,"why, for what reason","mengapa, untuk alasan apa",Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5,s<(2V@f6ff
どうぞ,どうぞ,"please, kindly, by all means","tolong, mohon, dengan segala cara",JLPT JLPT_5 JLPT_N5,CXiSJodxs@
動物,どうぶつ,animal,hewan,Intermediate_Japanese Intermediate_Japanese_Ln.10 JLPT JLPT_5 JLPT_N5,Q~mPY;2upw
どうも,どうも,Thank you; somehow; no matter how hard one may try,Terima kasih;,Genki Genki_Ln.2 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5,"Maz]_B`w,4"
十,(〜を) とお,ten (~),sepuluh (~),Genki Genki_Ln.9 JLPT JLPT_3 JLPT_5 JLPT_N5,BjWdBTc)9!
遠い,とおい,"far (away), distant","jauh (jauh), jauh",Genki Genki_Ln.21 JLPT JLPT_5 JLPT_N5,Jl9yYXnyJ<
十日,とおか,ten days; tenth day of the month,sepuluh hari;,Genki Genki_Ln.13 JLPT JLPT_5 JLPT_N5,g[CNT&GA2[
～時,～とき,at the time of ~,pada saat ~,JLPT JLPT_3 JLPT_5 JLPT_N5,bGLp[lZC.;
時々,ときどき,sometimes,Kadang-kadang,Genki Genki_Ln.3 JLPT JLPT_5 JLPT_N5,s+W64X?THZ
時計,とけい,a watch; a clock,sebuah jam tangan;,Genki Genki_Ln.2 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5,u/fL<ne:Cb
どこ,どこ,"where, what place","dimana, tempat apa",Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5,h_Fa6?Ps@9
所,ところ,place,tempat,Genki Genki_Ln.8 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5,J`^6YmuA-0
年,とし,"year, age","tahun, usia",JLPT JLPT_3 JLPT_5 JLPT_N5,N=hcG9wG3;
図書館,としょかん,library,perpustakaan,Genki Genki_Ln.2 Intermediate_Japanese Intermediate_Japanese_Ln.5 JLPT JLPT_5 JLPT_N5,mp0X0~7Y`^
どちら,どちら,which (one) (way); where (polite),yang mana (satu) (jalan);,Genki Genki_Ln.10 Genki_Ln.19 JLPT JLPT_5 JLPT_N5,pW(ud@AhIx
どっち,どっち,"which one, which way","yang mana, ke arah mana",Genki Genki_Ln.10 JLPT JLPT_5 JLPT_N5,"PxI,t`JQ.N"
とても,とても,"very (much), greatly, exceedingly","sangat (banyak), sangat, sangat",Genki Genki_Ln.5 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_3 JLPT_5 JLPT_N5,t]2-1h#)V/
どなた,どなた,who,WHO,JLPT JLPT_5 JLPT_N5,Ll)TbcW$yb
隣,となり,"next to, next door to","di sebelah, di sebelah",Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5,GigT2yQ[2E
どの,どの,which,yang,JLPT JLPT_5 JLPT_N5,H+g1ci<Mvc
飛ぶ,とぶ,"to fly, to hop","untuk terbang, untuk melompat",JLPT JLPT_5 JLPT_N5,wLF5gUV](>
止まる,とまる,to come to a halt,untuk berhenti,JLPT JLPT_5 JLPT_N5,Q+OrrzleWd
友達,ともだち,friend,teman,Genki Genki_Ln.1 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5,E)w$/p&I#O
土曜日,どようび,Saturday,Sabtu,Genki Genki_Ln.3 JLPT JLPT_3 JLPT_5 JLPT_N5,Q%+.*M.E9m
鳥,とり,"chicken (lit., bird)","ayam (lit., burung)",Intermediate_Japanese Intermediate_Japanese_Ln.6 JLPT JLPT_5 JLPT_N5,lc>;F##&%m
鶏肉,とりにく,chicken meat,daging ayam,JLPT JLPT_5 JLPT_N5,dL<c9&FvJF
取る,とる,to take (a class); to get (a grade),untuk mengambil (kelas);,Genki Genki_Ln.11 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5,bLpD3ABv2g
撮る,とる,"to take (a photo), to make (a film)","untuk mengambil (foto), untuk membuat (film)",JLPT JLPT_5 JLPT_N5,w7O/i=vkEI
どれ,どれ,which one,yang mana,Genki Genki_Ln.2 JLPT JLPT_3 JLPT_5 JLPT_N5,icGG-;4x}M
どんな,どんな,"what, what kind of","apa, jenis apa",JLPT JLPT_3 JLPT_5 JLPT_N5,PZ~[>!hd8m
ない,ない,"there isn't, doesn't have","tidak ada, tidak punya",JLPT JLPT_5 JLPT_N5,I08@<2+DPk
ナイフ,ナイフ,knife,pisau,JLPT JLPT_5 JLPT_N5,domhg)5M&Q
中,なか,"inside, middle, among","di dalam, tengah, di antara",JLPT JLPT_3 JLPT_5 JLPT_N5,rVjcK=lE15
長い,ながい,"long, lengthy","panjang, panjang",Genki Genki_Ln.7 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_2 JLPT_5 JLPT_N5,EHO`14{d-(
鳴く,なく,to make sound (animal),untuk mengeluarkan suara (hewan),JLPT JLPT_5 JLPT_N5,"ivpv*G,Zm%"
無くす,なくす,to lose something,kehilangan sesuatu,JLPT JLPT_3 JLPT_5 JLPT_N5,dteDI+R~`W
なぜ,なぜ,why (same as どうして),kenapa (sama dengan どうして),Genki Genki_Ln.19 JLPT JLPT_5 JLPT_N5,Cvs*YiG5BD
夏,なつ,summer,musim panas,Genki Genki_Ln.8 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_5 JLPT_N5,"P,[b8Eh|6R"
夏休み,なつやすみ,summer vacation,liburan musim panas,JLPT JLPT_5 JLPT_N5,D=cA)b0@~(
～など,～など,et cetera,dan sebagainya,JLPT JLPT_3 JLPT_5 JLPT_N5,"e(]O3py,;2"
七つ,ななつ,seven things,tujuh hal,Genki Genki_Ln.9 JLPT JLPT_3 JLPT_5 JLPT_N5,G25u:w`9Xu
何,なん; なに,what,Apa,Genki Genki_Ln.1 JLPT JLPT_3 JLPT_5 JLPT_N5,g<hW@mElnM
七日,なのか,seven days; seventh day (of the month),tujuh hari;,Genki Genki_Ln.13 JLPT JLPT_5 JLPT_N5,I|+G2AT>J]
名前,なまえ,name,nama,Genki Genki_Ln.1 JLPT JLPT_5 JLPT_N5,e6o_CEx8)b
習う,ならう,to learn,untuk belajar,Genki Genki_Ln.11 JLPT JLPT_5 JLPT_N5,iV+xor)WZT
並ぶ,ならぶ,"to line up, to stand in a line (v.i.)","berbaris, berdiri dalam barisan (v.i.)",Intermediate_Japanese Intermediate_Japanese_Ln.7 JLPT JLPT_5 JLPT_N5,nIHPO#>_}+
並べる,ならべる,to put (things) side by side; to line up,untuk meletakkan (sesuatu) berdampingan;,Intermediate_Japanese Intermediate_Japanese_Ln.15 JLPT JLPT_5 JLPT_N5,n!B94UfoT6
なる,なる,to become,menjadi,Genki Genki_Ln.10 JLPT JLPT_3 JLPT_5 JLPT_N5,ukKTUxR2lk
何～,なん～,what sort of ~,seperti apa ~,JLPT JLPT_5 JLPT_N5,C!@pB0L*^>
二,に,two,dua,JLPT JLPT_5 JLPT_N5,uzD!:&B)8|
にぎやか,にぎやか,"bustling, busy","ramai, sibuk",JLPT JLPT_5 JLPT_N5,cIb<bg#^)L
肉,にく,meat,daging,Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5,Go(gh2eIxK
西,にし,west,Barat,JLPT JLPT_5 JLPT_N5,D!YA^58RBg
～日,～にち,"~ day of the month, for ~ days","~ hari dalam sebulan, selama ~ hari",JLPT JLPT_5 JLPT_N5,DbJ@Azg05L
日曜日,にちようび,Sunday,Minggu,Genki Genki_Ln.3 JLPT JLPT_3 JLPT_5 JLPT_N5,XSi31p{-G
荷物,にもつ,luggage; baggage,bagasi;,Genki Genki_Ln.6 Intermediate_Japanese Intermediate_Japanese_Ln.6 JLPT JLPT_5 JLPT_N5,MH72iI!<]q
ニュース,ニュース,news,berita,Genki Genki_Ln.17 JLPT JLPT_5 JLPT_N5,"iHtE.]1*,&"
庭,にわ,garden,kebun,Genki Genki_Ln.15 JLPT JLPT_5 JLPT_N5,f&>q3YTU?H
～人,～にん,counter for people,counter untuk orang-orang,JLPT JLPT_5 JLPT_N5,FNnJ8yNPin
脱ぐ,ぬぐ,to take off (clothes),melepas (pakaian),Genki Genki_Ln.17 JLPT JLPT_5 JLPT_N5,cM_g)oAQIs
温い,ぬるい,lukewarm,suam-suam kuku,JLPT JLPT_3 JLPT_5 JLPT_N5,"gfQAF/k(q,"
ネクタイ,ネクタイ,"tie, necktie","dasi, dasi",Genki Genki_Ln.14 JLPT JLPT_5 JLPT_N5,AQO{m&veen
猫,ねこ,cat,kucing,Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5,x^.ijbc4Mz
寝る,ねる,to sleep; to go to sleep; to go to bed,untuk tidur;,Genki Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5,PAI>}YTMT!
～年,～ねん,~ years,~ tahun,JLPT JLPT_5 JLPT_N5,"gYAXz}z6O,"
ノート,ノート,notebook,buku catatan,Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5,Go~p$PSFcm
登る,のぼる,to climb,untuk mendaki,JLPT JLPT_3 JLPT_5 JLPT_N5,unM=ha?S3d
飲み物,のみもの,"drink, beverage","minuman, minuman",Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5,"k?X,84{EZ8"
飲む,のむ,to drink,untuk minum,JLPT JLPT_5 JLPT_N5,C;cf;f4#r6
乗る,のる,"to get on, to ride in, to board","untuk naik, naik, naik",JLPT JLPT_3 JLPT_5 JLPT_N5,J~ykS_Bo0m
歯,は,tooth,gigi,Genki Genki_Ln.12 Intermediate_Japanese Intermediate_Japanese_Ln.12 JLPT JLPT_5 JLPT_N5,J1;2F+tdr`
パーティー,パーティー,a party,sebuah pesta,Genki Genki_Ln.8 JLPT JLPT_5 JLPT_N5,O}o_r|!syk
はい,はい,yes,Ya,Genki Genki_Ln.1 JLPT JLPT_3 JLPT_5 JLPT_N5,Q.;:Q&Nmh}
～杯,～はい,counter for cupfuls,counter untuk secangkir penuh,JLPT JLPT_5 JLPT_N5,JTOz#Az0jW
灰皿,はいざら,ashtray,asbak,JLPT JLPT_5 JLPT_N5,mAdBNp<Jp$
入る,はいる,"to enter, to contain, to hold","untuk masuk, untuk menampung, untuk menahan",JLPT JLPT_5 JLPT_N5,zZFQIc).TB
葉書,はがき,postcard,kartu pos,Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5,jer83m7P=.
はく,はく,to put on (items below your waist),untuk dipakai (barang di bawah pinggang Anda),Genki Genki_Ln.7 JLPT JLPT_3 JLPT_5 JLPT_N5,oRjJ`o{id)
箱,はこ,box,kotak,JLPT JLPT_5 JLPT_N5,D@BX&%Fydt
橋,はし,bridge,menjembatani,JLPT JLPT_3 JLPT_5 JLPT_N5,gMcz>SvPjQ
箸,はし,chopsticks,sumpit,Genki Genki_Ln.8 JLPT JLPT_3 JLPT_5 JLPT_N5,vlWz[4OAnE
始まる,はじまる,(something) begins,(sesuatu) dimulai,Genki Genki_Ln.9 JLPT JLPT_5 JLPT_N5,g7#i$_:K%6
初め; 始め,はじめ,"beginning, start","mulai, mulai",JLPT JLPT_3 JLPT_5 JLPT_N5,Po{k$4o=i}
初めて,はじめて,for the first time,untuk pertama kalinya,Genki Genki_Ln.12 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5,FM~Al0*F*3
走る,はしる,to run,untuk berlari,Genki Genki_Ln.22 Intermediate_Japanese Intermediate_Japanese_Ln.10 JLPT JLPT_5 JLPT_N5,"B)($ycG+,c"
バス,バス,bus; bath; bass,bis;,Genki Genki_Ln.5 Intermediate_Japanese Intermediate_Japanese_Ln.10 JLPT JLPT_1 JLPT_5 JLPT_N5,nF2zK|?mh~
バター,バター,butter,mentega,JLPT JLPT_5 JLPT_N5,bep_D~c3Ed
二十歳,はたち,20 years old,20 tahun,JLPT JLPT_3 JLPT_5 JLPT_N5,"s,}HT(8Tzb"
働く,はたらく,to work,untuk bekerja,Genki Genki_Ln.11 Intermediate_Japanese Intermediate_Japanese_Ln.9 JLPT JLPT_5 JLPT_N5,fCkP4x.Nco
八,はち,eight,delapan,JLPT JLPT_5 JLPT_N5,maEI.lHT3>
二十日,はつか,"twenty days, twentieth (day of the month)","dua puluh hari, kedua puluh (hari dalam sebulan)",JLPT JLPT_5 JLPT_N5,mmn=3%}>}J
花,はな,flower,bunga,JLPT JLPT_5 JLPT_N5,js_smr~4Ak
鼻,はな,nose,hidung,JLPT JLPT_5 JLPT_N5,"Ft8Z7qnLG,"
話,はなし,"talk (chat), story","bicara (ngobrol), cerita",Genki Genki_Ln.19 JLPT JLPT_5 JLPT_N5,A(<B}*ZSa_
話す,はなす,to speak,untuk berbicara,JLPT JLPT_3 JLPT_5 JLPT_N5,d]>`2&`x#1
母,はは,(my) mother,ibu (saya).,Genki Genki_Ln.14 JLPT JLPT_5 JLPT_N5,I?S_Xs1PT;
早い,はやい,early,lebih awal,Genki Genki_Ln.3 JLPT JLPT_5 JLPT_N5,J6yYVxGFN*
速い,はやい,"fast, quick","cepat, cepat",Genki Genki_Ln.7 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_5 JLPT_N5,pfU@DZ;h3^
春,はる,spring,musim semi,Genki Genki_Ln.10 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_3 JLPT_5 JLPT_N5,mlEwn=b[H<
貼る,はる,to post; to paste; to attach,untuk memposting;,Genki Genki_Ln.21 Intermediate_Japanese Intermediate_Japanese_Ln.3 JLPT JLPT_3 JLPT_5 JLPT_N5,zI5j%aDV0.
晴れ,はれ,clear (sunny) weather,cuaca cerah (cerah).,Genki Genki_Ln.12 JLPT JLPT_5 JLPT_N5,nBD2D7_?kw
晴れる,はれる,to be sunny,menjadi cerah,Genki Genki_Ln.19 JLPT JLPT_5 JLPT_N5,ATM=j&::X;
半,はん,"half (e.g., にじはん | half-past two)","setengah (misalnya, にじはん | setengah dua)",Genki Genki_Ln.1 JLPT JLPT_3 JLPT_5 JLPT_N5,s%lRHov]`n
晩,ばん,evening,malam,JLPT JLPT_3 JLPT_5 JLPT_N5,hO?dVEN`5B
～番,～ばん,~st; ~th best,~st;,JLPT JLPT_5 JLPT_N5,b/wgPDiVBg
パン,パン,bread,roti,Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5,FI2Z[9I*9Q
ハンカチ,ハンカチ,handkerchief,sapu tangan,JLPT JLPT_5 JLPT_N5,yU4LCXkUnv
番号,ばんごう,"number, series of digits","nomor, rangkaian angka",Genki Genki_Ln.1 JLPT JLPT_5 JLPT_N5,c^xE))av$-
晩御飯,ばんごはん,"dinner, evening meal","makan malam, makan malam",Genki Genki_Ln.3 JLPT JLPT_5 JLPT_N5,HihAr>C::*
半分,はんぶん,half,setengah,JLPT JLPT_5 JLPT_N5,DN!/&cg9bL
東,ひがし,east,timur,JLPT JLPT_5 JLPT_N5,"pI3YEa2,3t"
～匹,～ひき,counter for small animals,counter untuk hewan kecil,JLPT JLPT_5 JLPT_N5,ivmKu+!yZ}
引く,ひく,"to pull, to draw; subtract","untuk menarik, menggambar;",JLPT JLPT_2 JLPT_3 JLPT_5 JLPT_N5,tVVM)ZI7wM
弾く,ひく,to play (a string instrument or piano),untuk bermain (instrumen dawai atau piano),Genki Genki_Ln.9 JLPT JLPT_3 JLPT_5 JLPT_N5,HK}b0#P-HS
低い,ひくい,"short, low","pendek, rendah",JLPT JLPT_5 JLPT_N5,BBr{:lP!;x
飛行機,ひこうき,airplane,pesawat terbang,Genki Genki_Ln.5 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5,OUQ4o:]Va=
左,ひだり,left hand side,sisi kiri,JLPT JLPT_5 JLPT_N5,h_@t6d`1:*
人,ひと,"man, person","manusia, orang",Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5,ya&#4:D}>{
一つ,ひとつ,one thing,satu hal,Genki Genki_Ln.9 JLPT JLPT_5 JLPT_N5,lMwiFE;gTW
一月,ひとつき,one month,satu bulan,JLPT JLPT_5 JLPT_N5,JU.k{Nz*{h
一人,ひとり,one person,satu orang,Genki Genki_Ln.7 JLPT JLPT_3 JLPT_5 JLPT_N5,rOUMQ8LZ5<
暇,ひま,"free time, leisure","waktu luang, waktu luang",JLPT JLPT_5 JLPT_N5,urDxNZnrq<
百,ひゃく,hundred,ratus,JLPT JLPT_5 JLPT_N5,J;(UasY_=O
病院,びょういん,hospital,RSUD,Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5,<+#t;D=L-
病気,びょうき,illness; sickness,penyakit;,Genki Genki_Ln.9 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5,Ibs3I0!xB|
平仮名,ひらがな,hiragana,hiragana,JLPT JLPT_5 JLPT_N5,k}y1F@5e8u
昼,ひる,"noon, daytime","siang hari, siang hari",JLPT JLPT_5 JLPT_N5,i8$:v@D8x1
昼御飯,ひるごはん,"lunch, midday meal","makan siang, makan siang",Genki Genki_Ln.3 JLPT JLPT_5 JLPT_N5,JGK7M1P.PA
広い,ひろい,spacious; wide; broad,luas;,Genki Genki_Ln.15 Intermediate_Japanese Intermediate_Japanese_Ln.15 JLPT JLPT_5 JLPT_N5,nThxsh#3~a
フィルム,フィルム,film (roll of),film (gulungan),JLPT JLPT_5 JLPT_N5,w#JO*~D@<H
封筒,ふうとう,envelope,amplop,Intermediate_Japanese Intermediate_Japanese_Ln.3 JLPT JLPT_5 JLPT_N5,JaXU6BSc-h
プール,プール,swimming pool,kolam renang,Genki Genki_Ln.15 JLPT JLPT_5 JLPT_N5,J.!iKtAY)1
フォーク,フォーク,fork,garpu,JLPT JLPT_5 JLPT_N5,Q#>HBX67;#
吹く,ふく,"to blow (wind, etc.)","untuk meniup (angin, dll.)",Genki Genki_Ln.22 JLPT JLPT_3 JLPT_5 JLPT_N5,mo@qiT7%d3
服,ふく,clothes,pakaian,Genki Genki_Ln.12 JLPT JLPT_3 JLPT_5 JLPT_N5,G;N&<jI3Ep
二つ,ふたつ,two things,dua hal,Genki Genki_Ln.9 JLPT JLPT_5 JLPT_N5,A@M*oG}Fjm
豚肉,ぶたにく,pork,babi,JLPT JLPT_5 JLPT_N5,N1fM*9;kPY
二人,ふたり,two people,dua orang,Genki Genki_Ln.7 JLPT JLPT_5 JLPT_N5,yRF#3ntAGH
二日,ふつか,two days; second day of the month,dua hari;,Genki Genki_Ln.13 JLPT JLPT_5 JLPT_N5,dRYcz7jSL;
太い,ふとい,"fat, thick","gemuk, kental",JLPT JLPT_5 JLPT_N5,LD`2@7dG9a
冬,ふゆ,winter,musim dingin,Genki Genki_Ln.8 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_5 JLPT_N5,reZ;<Y^{LL
降る,ふる,"to precipitate, to fall (e.g., rain, snow, etc.)","untuk mengendapkan, jatuh (misalnya, hujan, salju, dll.)",Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_3 JLPT_5 JLPT_N5,q(<}4NV?U@
古い,ふるい,"old (in reference to objects, not people), aged, ancient","tua (mengacu pada benda, bukan manusia), tua, kuno",Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5,gH<g@fkLje
～分,～ふん,~ minutes,~ menit,JLPT JLPT_5 JLPT_N5,chUnU+#xr]
文章,ぶんしょう,"sentence, text","kalimat, teks",JLPT JLPT_5 JLPT_N5,F&}@z14/*V
ページ,ページ,a page,sebuah halaman,Genki Genki_Ln.6 JLPT JLPT_5 JLPT_N5,jR*]a[JBx$
下手,へた,"unskillful, poor","tidak terampil, miskin",JLPT JLPT_5 JLPT_N5,zx]n<UpO/Q
ベッド,ベッド,bed,tempat tidur,JLPT JLPT_5 JLPT_N5,mm(#F~5?W7
ペット,ペット,pet,peliharaan,Genki Genki_Ln.15 JLPT JLPT_3 JLPT_5 JLPT_N5,Gm:f8t8t/V
部屋,へや,a room,sebuah ruangan,Genki Genki_Ln.5 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5,"cB,rGZ.;c."
辺,へん,"area, vicinity","daerah, sekitar",JLPT JLPT_5 JLPT_N5,"v^uJ@o,r7C"
ペン,ペン,pen,pena,Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5,PpbmxKp]%S
勉強,べんきょう (する),study,belajar,JLPT JLPT_3 JLPT_5 JLPT_N5,P|N-mC4itp
便利,べんり,"convenient, handy","nyaman, berguna",JLPT JLPT_5 JLPT_N5,NSM1sxi#q3
帽子,ぼうし,hat; cap,topi;,Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5,whud$h6Xsa
ボールペン,ボールペン,ball-point pen,pulpen,JLPT JLPT_5 JLPT_N5,A1a57pRAi*
外,ほか,"other, the rest","lainnya, sisanya",JLPT JLPT_3 JLPT_5 JLPT_N5,q-Rsw+YG/*
ポケット,ポケット,pocket,saku,JLPT JLPT_5 JLPT_N5,PrdL>hhb^[
欲しい,ほしい,"to want, in need of","ingin, membutuhkan",JLPT JLPT_5 JLPT_N5,"IB/)D,[pe$"
ポスト,ポスト,"mailbox; post, position",kotak surat;,JLPT JLPT_5 JLPT_N5,CSDW$^FNBN
